fill_time,close_time,symbol,side,setup,r_multiple,entry_balance,llm_grade,llm_score,llm_reason
2025-04-21T08:30:00+00:00,2025-04-22T16:00:00+00:00,EURUSD,buy,london_breakout,-1.0000,50000.00,A,5,"Clean London breakout with strong upward momentum from 1.1477 to 1.15242, breaking prior highs at a meaningful level during London open."
2025-04-22T16:15:00+00:00,2025-04-22T16:30:00+00:00,EURUSD,buy,london_breakout,-1.0000,49750.00,skip,3,"BUY signal against clear downtrend (price dropped from 1.1508 to 1.1464 over last 20 bars) and not at meaningful level (1.1464 is mid-range, 117 pips below prior_day_high)."
2025-04-23T00:00:00+00:00,2025-04-23T12:00:00+00:00,AUDUSD,buy,failed_breakout_fade,2.4853,49501.25,skip,4,"Setup tag matches failed_breakout_fade and price is at prior_day_low, but recent bars show clear downtrend (64.38→63.65) making BUY directionally misaligned with HTF momentum."
2025-04-23T13:30:00+00:00,2025-04-23T14:15:00+00:00,USTEC,buy,ny_momentum,0.0000,50116.37,B,4,"Strong upward momentum into NY session with clear higher highs, but signal price (18760) is not near a meaningful level—it's 360 points above prior day high and mid-range."
2025-04-23T13:30:00+00:00,2025-04-23T14:15:00+00:00,US500,buy,ny_momentum,0.0000,50116.37,B,4,"Strong upward momentum from 5370 to 5406 supports BUY, but signal price (5406.05) is far above prior_day_high (5310) and not near a meaningful level."
2025-04-24T08:00:00+00:00,2025-04-25T12:00:00+00:00,AUDUSD,buy,failed_breakout_fade,1.5000,50116.37,skip,4,"HTF trend is clearly down (from 0.64383 high to 0.63584), making this BUY against momentum despite being at prior day low."
2025-04-24T17:00:00+00:00,2025-04-24T22:00:00+00:00,XAUUSD,sell,gold_pullback,-1.0000,50116.37,skip,3,"Price is in strong downtrend (last 4 bars declining from 3344 to 3315) making this a SELL into weakness rather than a pullback from strength, and current level (3315) is not near any meaningful bounda"
2025-04-25T07:00:00+00:00,2025-04-25T16:00:00+00:00,XAUUSD,sell,gold_pullback,1.9999,49865.79,skip,4,"SELL signal contradicts strong uptrend visible in last bars (3315→3367→3348→3323), price just pulled back sharply but momentum remains bullish."
2025-04-25T08:00:00+00:00,2025-04-25T16:00:00+00:00,USDJPY,sell,failed_breakout_fade,0.0000,49865.79,skip,4,"Failed breakout fade setup is valid and price is at prior day high, but recent momentum is strongly bullish (last 2 bars rallying from 142.57→143.61) making a SELL directionally misaligned."
2025-04-25T13:30:00+00:00,2025-04-25T16:30:00+00:00,USTEC,sell,ny_momentum,-1.0000,50241.66,A,5,"Clear downtrend from 19357 high with last_close near session lows and breaking below prior_day_low support, aligning perfectly with NY momentum sell setup."
